Stations_id,Bezugszeitraum,Datenquelle,Jan.,Feb.,M‰rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
4605,1981-2010,42,39.0,46.0,99.0,154.0,185.0,176.0,201.0,184.0,132.0,92.0,40.0,28.0,1376.0
4606,1981-2010,46,54.8,74.5,116.9,180.0,225.9,213.3,233.4,219.8,154.5,120.1,57.6,45.3,1696.0
4612,1981-2010,46,55.0,73.4,102.4,160.4,191.0,183.4,207.7,197.6,139.0,108.6,50.9,44.2,1513.7
4621,1981-2010,46,40.7,71.7,107.8,167.4,203.2,204.6,222.7,206.7,146.6,96.9,40.8,29.8,1538.9
4629,1981-2010,46,44.4,67.3,110.6,177.6,228.1,206.0,218.9,206.0,141.1,101.1,53.7,37.2,1592.1
4649,1981-2010,46,51.5,77.6,109.1,162.9,190.7,192.2,205.5,192.0,139.3,103.4,54.3,41.5,1519.9
4651,1981-2010,46,42.9,67.5,100.7,158.2,197.6,189.1,201.1,190.0,132.8,96.1,42.1,33.1,1451.3
4656,1981-2010,46,42.2,64.8,108.7,174.7,228.2,204.0,221.6,206.0,143.7,106.2,51.1,33.6,1584.7
4664,1981-2010,46,39.4,61.8,96.8,158.2,198.2,192.2,211.6,202.1,137.5,94.1,38.4,28.9,1459.2
4692,1981-2010,46,43.6,74.1,107.6,163.7,191.5,192.8,208.5,193.4,136.9,97.1,43.8,32.7,1485.8
4702,1981-2010,46,62.2,85.8,124.7,163.5,195.5,208.2,232.4,216.8,160.1,110.4,65.4,47.2,1672.4
4703,1981-2010,46,61.3,84.6,124.9,163.5,196.1,210.3,234.4,217.7,160.8,109.9,64.3,46.1,1673.9
4704,1981-2010,42,57.0,85.0,125.0,164.0,193.0,203.0,225.0,204.0,155.0,113.0,63.0,44.0,1631.0
4705,1981-2010,46,55.3,81.2,111.2,164.2,202.3,192.3,216.0,210.2,154.6,114.3,55.5,45.6,1602.7
4709,1981-2010,42,49.0,79.0,117.0,167.0,195.0,201.0,217.0,203.0,148.0,100.0,52.0,39.0,1567.0
4719,1981-2010,46,48.4,74.8,118.8,172.8,206.0,215.0,234.8,221.1,158.6,103.7,53.2,38.5,1645.7
4729,1981-2010,46,43.4,73.5,112.0,168.6,201.0,202.5,219.8,205.8,147.8,98.0,44.0,33.4,1549.8
4741,1981-2010,46,51.5,76.2,108.7,162.7,192.2,190.3,203.9,190.1,135.6,104.1,54.4,41.0,1510.8
4748,1981-2010,42,50.0,72.0,110.0,165.0,207.0,201.0,216.0,203.0,142.0,104.0,50.0,37.0,1557.0
4752,1981-2010,42,49.0,77.0,105.0,163.0,200.0,190.0,209.0,202.0,147.0,104.0,48.0,40.0,1534.0
